,ano,fator_ajuste,num_interacoes,erro,converge
0,1998,155.72775121531762,24,4.8570463206942804e-09,True
1,1999,150.4951031550288,21,8.019791053470726e-09,True
2,2000,145.62347951699016,22,7.490136511023593e-09,True
3,2001,147.04942976641442,24,2.547325905766229e-09,True
4,2002,148.4671215452117,23,9.924661981131067e-09,True
5,2003,149.82949271346087,23,1.290985096602526e-10,True
6,2004,151.56057024722378,22,9.204438100596235e-09,True
7,2005,153.1381362151726,24,2.2050929970873767e-09,True
8,2006,158.73951883226124,22,3.944395032817738e-09,True
9,2007,156.2064250335436,21,5.52508794271489e-09,True
10,2008,157.8823440587321,22,1.3060237336048885e-09,True
11,2009,159.31704593004258,23,1.57207526996217e-08,True
12,2010,160.7097717076991,26,1.0704967579044933e-08,True
13,2011,259.0743906886183,27,9.265313849482482e-09,True
14,2012,230.22392036005914,21,1.5613181858498137e-08,True
15,2013,230.74315778214216,25,4.3585401954260306e-09,True
16,2014,231.17038682426295,24,1.346394995493938e-09,True
17,2015,231.59552361156528,25,3.1246152332187194e-09,True
18,2016,232.17001453738337,23,2.2738383620435343e-08,True
19,2017,232.72948892942188,24,5.452310603004662e-09,True
20,2018,233.21253666651944,22,5.355172305598899e-09,True
