,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
0,-4.3104725,-4.3401318,-4.3710413,-4.4009748,-4.432757,-4.4646935,-4.4947996,-4.5229325,-4.5574527,-4.845493
1,-7.0465264,-7.0840044,-7.102581,-7.16003,-7.2110233,-7.261195,-7.2200637,-7.2507496,-7.281137,-7.924974
2,-7.4969826,-7.53828,-7.581251,-7.622376,-7.675431,-7.729727,-7.749641,-7.8003654,-7.8503847,-8.295571
3,-7.803193,-7.8569503,-7.8856664,-7.9426756,-8.0293455,-8.080542,-8.213072,-8.26348,-8.306496,-8.651121
4,-7.983327,-7.96923,-8.119352,-8.165226,-8.207226,-8.28393,-8.462976,-8.482906,-8.508792,-8.7553425
5,-8.147409,-8.2207775,-8.319762,-8.338886,-8.370193,-8.394995,-8.453083,-8.4765625,-8.514546,-8.685616
6,-8.303785,-8.298282,-8.356148,-8.370404,-8.427607,-8.464054,-8.495519,-8.512808,-8.549042,-8.649067
7,-8.338272,-8.323153,-8.318202,-8.294661,-8.353767,-8.412533,-8.482564,-8.504562,-8.490605,-8.50479
8,-8.233394,-8.179684,-8.212597,-8.242156,-8.312579,-8.370324,-8.393054,-8.409297,-8.4319935,-8.434795
9,-8.15044,-8.042327,-8.093856,-8.12396,-8.183363,-8.240468,-8.286636,-8.306953,-8.330978,-8.294678
10,-8.181326,-8.095054,-8.125283,-8.149597,-8.209624,-8.26601,-8.324957,-8.361057,-8.39153,-8.335156
11,-8.209192,-8.180468,-8.231598,-8.281222,-8.347008,-8.410051,-8.454013,-8.505176,-8.528305,-8.485289
12,-8.158401,-8.226309,-8.294296,-8.34618,-8.418795,-8.470559,-8.497225,-8.541962,-8.566145,-8.502462
13,-7.999643,-8.038508,-8.093848,-8.115201,-8.146056,-8.171896,-8.241203,-8.331897,-8.366411,-8.2824545
14,-7.7508535,-7.808022,-7.8673363,-7.9031696,-7.945716,-7.983914,-8.0145,-8.08102,-8.102073,-8.037642
15,-7.2870836,-7.2527547,-7.291824,-7.3151855,-7.3395586,-7.365434,-7.3952136,-7.421267,-7.440405,-7.3038955
16,-7.0068336,-7.043237,-7.0848427,-7.1075993,-7.1317196,-7.164473,-7.186144,-7.2179637,-7.241862,-7.099518
17,-6.8493023,-6.8842087,-6.9196196,-6.9485855,-6.9719534,-7.0013123,-7.026601,-7.0550876,-7.078784,-6.950367
18,-6.7359476,-6.7699656,-6.805523,-6.8267617,-6.8550925,-6.880973,-6.9031534,-6.9333825,-6.961037,-6.834272
19,-6.6599755,-6.6909585,-6.727755,-6.750778,-6.7759066,-6.8048797,-6.823542,-6.851488,-6.8784337,-6.7733665
20,-6.5896726,-6.6198196,-6.65688,-6.6827617,-6.703964,-6.731893,-6.7525682,-6.78283,-6.809423,-6.7138314
21,-6.523156,-6.548479,-6.584404,-6.5970116,-6.6311083,-6.6487627,-6.670838,-6.7015967,-6.7290473,-6.650783
22,-6.4817104,-6.5081787,-6.543174,-6.5571737,-6.591309,-6.6180916,-6.6350374,-6.6643853,-6.6954937,-6.632223
23,-6.463669,-6.492631,-6.5280323,-6.549096,-6.582361,-6.6069427,-6.6273246,-6.658607,-6.687439,-6.6429095
24,-6.4610343,-6.4904075,-6.521758,-6.544709,-6.5791883,-6.608443,-6.6285534,-6.6557064,-6.6811786,-6.6493497
25,-6.463856,-6.490442,-6.512665,-6.538501,-6.574275,-6.6029673,-6.625296,-6.6540847,-6.6847444,-6.671602
26,-6.4654956,-6.492751,-6.517311,-6.5444365,-6.579833,-6.6102076,-6.635585,-6.663984,-6.693956,-6.697253
27,-6.4653797,-6.4964924,-6.518997,-6.5450478,-6.581206,-6.6116195,-6.635609,-6.670183,-6.6966577,-6.7107577
28,-6.449639,-6.4779654,-6.505848,-6.5315847,-6.5683255,-6.6011777,-6.6206203,-6.654704,-6.6851716,-6.7083974
29,-6.421243,-6.4491816,-6.4750495,-6.500684,-6.5382376,-6.573808,-6.600707,-6.6368637,-6.670379,-6.6984496
30,-6.3924804,-6.4214425,-6.4490576,-6.4736905,-6.5100265,-6.546389,-6.571746,-6.6022215,-6.636756,-6.671572
31,-6.36441,-6.3966722,-6.4237995,-6.4500556,-6.4860816,-6.5216246,-6.5472093,-6.581935,-6.6149645,-6.64849
32,-6.3332176,-6.3610387,-6.388334,-6.4186406,-6.452753,-6.4880457,-6.518467,-6.549066,-6.582525,-6.615138
33,-6.3041677,-6.330761,-6.3585505,-6.3872986,-6.4214387,-6.4557514,-6.482116,-6.5142293,-6.5482907,-6.5845547
34,-6.269412,-6.29577,-6.322653,-6.3500614,-6.384832,-6.420968,-6.445375,-6.4743214,-6.507375,-6.551911
35,-6.2319903,-6.259781,-6.285466,-6.3132267,-6.347814,-6.370319,-6.3971863,-6.428895,-6.463438,-6.5221524
36,-6.1884727,-6.216335,-6.239646,-6.266929,-6.3002186,-6.3255024,-6.34877,-6.3770404,-6.4086385,-6.4792895
37,-6.142588,-6.171822,-6.194915,-6.2216454,-6.2565584,-6.274926,-6.3017645,-6.3328147,-6.362407,-6.4428964
38,-6.091071,-6.1208434,-6.1434445,-6.1706715,-6.2009454,-6.225471,-6.2483974,-6.2759333,-6.304874,-6.393189
39,-6.0365567,-6.066234,-6.0898733,-6.116712,-6.1466794,-6.1708097,-6.1945443,-6.2204623,-6.247661,-6.3390455
40,-5.9791217,-6.009888,-6.0342436,-6.06051,-6.091413,-6.110578,-6.13852,-6.1665077,-6.1945934,-6.288811
41,-5.917311,-5.9474716,-5.9707446,-5.9960957,-6.0214906,-6.0476303,-6.0737886,-6.0989695,-6.126098,-6.223367
42,-5.8511453,-5.8826103,-5.9073243,-5.9335103,-5.959067,-5.9856057,-6.010918,-6.0340805,-6.060485,-6.1589727
43,-5.7782445,-5.808082,-5.830771,-5.8554845,-5.879198,-5.9097304,-5.933026,-5.956113,-5.982039,-6.081333
