,0,1,2,3,4
0,"[-4.173494799676609, -4.20362714739449, -4.234237934145403, -4.265569953861904, -4.298489476236773, -4.330444103720856, -4.364700558278036, -4.399531009289694, -4.435430778804493, -4.469808227065277]","[-4.186509730778168, -4.214852333552669, -4.243661154545377, -4.27279643390281, -4.302797874919603, -4.332519796229432, -4.362070100865791, -4.392384831346105, -4.421200402564834, -4.458813474066089]","[-4.227484722908806, -4.256912232663702, -4.287702271070551, -4.318103465538692, -4.350816841524314, -4.384800481897067, -4.415975111823749, -4.444559290360879, -4.478395029258203, -4.767000629853677]","[-4.271887236600165, -4.301915823807363, -4.331084746261482, -4.3626355895301145, -4.395189381529931, -4.424970907484536, -4.458189965551142, -4.488724452768807, -4.777387393032555, -4.807770374556426]","[-4.313131927581491, -4.342243396745982, -4.3723365823496, -4.403343881549301, -4.433008098112406, -4.465237692998709, -4.49863503973371, -4.789522246526541, -4.819141657160582, -4.847425558673205]"
1,"[-6.945322637946846, -6.979661250056268, -7.016594519407989, -7.05002369874859, -7.068625514896156, -7.1236174865975395, -7.164753267110826, -7.2032233453705325, -7.1833829875453725, -7.237491771148087]","[-6.963615971795691, -6.996169193826092, -7.031478009364975, -7.058513409636391, -7.1066787533382305, -7.146183482549561, -7.179516728214396, -7.152382710195554, -7.205783357090724, -7.26936870551802]","[-7.01251652724934, -7.055794766916756, -7.087857964261297, -7.148391886426929, -7.202782808615688, -7.24582759179068, -7.214877168460611, -7.260906687750343, -7.341932951285366, -7.979060827567104]","[-7.025777222096612, -7.058148970335414, -7.12137859824269, -7.181560648113181, -7.236811344951083, -7.205608788385679, -7.273143242552568, -7.315253704294254, -7.959818750127842, -8.003462511554051]","[-7.029739962397192, -7.074671903131579, -7.118297153590296, -7.157651429502343, -7.122515318421696, -7.170809560893153, -7.211275914190386, -7.850430288789843, -7.881042470661972, -7.923841798184489]"
2,"[-7.386655381931165, -7.423065452886918, -7.459471362693408, -7.494670110805133, -7.529844320429662, -7.568524922294715, -7.6157864435149225, -7.655007897926668, -7.679309574006298, -7.714642719416121]","[-7.410327399983953, -7.445423374786924, -7.479355848297428, -7.515348191276144, -7.552326573893379, -7.597394331261467, -7.638952600672792, -7.658831921309184, -7.686892733812283, -7.737822760730933]","[-7.442301017971906, -7.479722456814918, -7.519088847371015, -7.557920234086189, -7.61256543341485, -7.655522974016342, -7.673247409792814, -7.690679549979243, -7.74204714949635, -8.205453682499204]","[-7.456967500898148, -7.495154870602395, -7.53223198086312, -7.585586955699231, -7.625851260426547, -7.639648905883636, -7.684765408675279, -7.7219725576444525, -8.192422184090223, -8.21962373603424]","[-7.492419268286557, -7.528338383233876, -7.580297741389604, -7.622688847875924, -7.63571698898706, -7.676558464116187, -7.725071135259004, -8.19732281873259, -8.239774140811296, -8.248570855988891]"
3,"[-7.66764873593112, -7.678904965994857, -7.750365466354392, -7.783498209444783, -7.804476617379091, -7.850167444450758, -7.915197236938379, -7.953279650313757, -8.072737074000738, -8.107650107247732]","[-7.6615735156772296, -7.746536293470637, -7.78245557978131, -7.804345681735651, -7.855468470075504, -7.927351843037979, -7.973593342521564, -8.09355444780864, -8.128906361230985, -8.177866383859293]","[-7.74835250477232, -7.785122986388578, -7.807211044681444, -7.8608903470162295, -7.93248646284379, -7.981912429881468, -8.107431958866492, -8.138000277308002, -8.191916686919704, -8.538952780393139]","[-7.728109225455753, -7.74122570251309, -7.795720593828789, -7.8672065975257075, -7.909541116852394, -8.04257810284578, -8.075997127045028, -8.127329507667653, -8.473592528898351, -8.494297839526169]","[-7.748856846111822, -7.801225833463478, -7.871839694547463, -7.916948694604445, -8.047353763001967, -8.083789612966585, -8.132305074351835, -8.480951268094588, -8.516978338229466, -8.521269555537957]"
4,"[-7.865614811880439, -7.908577389074415, -7.969007181925624, -7.960242659775465, -8.096924603907317, -8.130960480300635, -8.193956346241682, -8.26153459492132, -8.407124572424143, -8.446566333053559]","[-7.883411120600369, -7.929739780701068, -7.913986472389963, -7.995251020393637, -8.032742546848324, -8.073531409702566, -8.127821968845394, -8.255517037562397, -8.302754649869469, -8.330075163371232]","[-7.903207131754731, -7.887493827473496, -7.962301128637169, -8.014726412575815, -8.045433324854944, -8.110947993677232, -8.242871207278345, -8.282950756233308, -8.309744772594545, -8.551303696911905]","[-7.870236082457072, -7.95524830230332, -7.993930059008366, -8.037182970427043, -8.080588268570668, -8.229011523060567, -8.281028843008048, -8.291321213811703, -8.531311492890186, -8.68242471989996]","[-7.994520752213211, -8.07829390325329, -8.135869114182206, -8.212738095305177, -8.327059826336118, -8.416798120818349, -8.459774913720103, -8.66453171008012, -8.82491550081155, -8.852186019054862]"
5,"[-7.991894425660507, -8.020164426252382, -8.087629940197008, -8.15926251916601, -8.25896837173416, -8.284429352566736, -8.329502038493889, -8.364652551546829, -8.432840637698906, -8.464489504531162]","[-8.020932078859689, -8.057856228700759, -8.121514987698676, -8.217020188025119, -8.253525399169805, -8.277449362478139, -8.301735409102323, -8.346031595519664, -8.375583125776531, -8.397159865624191]","[-8.061951620166512, -8.143576902930947, -8.238589880650254, -8.276078743522378, -8.295922465284677, -8.328385404904695, -8.374717972834917, -8.414448298176142, -8.441157092933866, -8.599574690346929]","[-8.106604695256163, -8.189020007784773, -8.218687787588049, -8.241456294368316, -8.271058751206208, -8.308267550478984, -8.337130604247857, -8.361757736589123, -8.520363923098255, -8.615431111241985]","[-8.172296281438273, -8.19253900414328, -8.218111164402169, -8.238278446253341, -8.283075538929504, -8.303940003272098, -8.331316513474983, -8.49603563314299, -8.574919005390209, -8.583827455062371]"
6,"[-8.106303720306954, -8.131036179643473, -8.23174938796123, -8.228743748078472, -8.277533130059368, -8.29685776614619, -8.352271794611937, -8.388850457305438, -8.424752227301127, -8.442152408222086]","[-8.146197450587055, -8.247980256804725, -8.243592237827828, -8.278892440495541, -8.29890521406894, -8.350146939752152, -8.389384438989213, -8.422980239388993, -8.438541104791215, -8.464255461243441]","[-8.231758418345779, -8.22543819979015, -8.262557852866083, -8.29280753046456, -8.34712609261456, -8.387604076268106, -8.418973337711721, -8.435270665066271, -8.475836360679894, -8.580981964098244]","[-8.157179537106916, -8.192218161065743, -8.249373081017897, -8.271553399850294, -8.3139114890887, -8.341730446432397, -8.36888570233123, -8.389426356990501, -8.490288919646904, -8.528413704474136]","[-8.222129952250844, -8.24746179403258, -8.328122628941065, -8.352913910611397, -8.38899532900644, -8.40432299589259, -8.4410666554187, -8.539699914953536, -8.59459404563052, -8.593283020513928]"
7,"[-8.234258612417115, -8.261817518420948, -8.286070888661278, -8.258699336819781, -8.301784211568965, -8.32145980911745, -8.38958502727045, -8.424932183497084, -8.4190395346698, -8.435769498613162]","[-8.271628213539008, -8.305054509504918, -8.271982309832458, -8.252413223921542, -8.290053385733847, -8.359360623597388, -8.427991535007243, -8.430666068992798, -8.42215347611833, -8.44657715359259]","[-8.25529478521278, -8.223661281477714, -8.203049097519422, -8.223217699986005, -8.297170754831338, -8.370395887952352, -8.36547660113504, -8.355783412542248, -8.375467131223584, -8.421875233139897]","[-8.22267221758365, -8.203283040842408, -8.230317982903117, -8.305716122558707, -8.382963034382456, -8.37956177891455, -8.35875023418329, -8.37708968372307, -8.425175064068654, -8.477328286331513]","[-8.268293720809014, -8.303440240350755, -8.362567753670008, -8.437153467116149, -8.462990843829902, -8.44983680280784, -8.466786653873713, -8.504897722182067, -8.546743263629468, -8.56997460233906]"
8,"[-8.305762201873916, -8.33630405026521, -8.215482343314546, -8.199219780369061, -8.248566272063512, -8.264445137558836, -8.331546467123884, -8.370214604167598, -8.364218688896257, -8.371344388323235]","[-8.331395107820198, -8.214861344113514, -8.149189877822563, -8.195410973891184, -8.230424548998043, -8.302291553034946, -8.361681956365272, -8.373905297867521, -8.383009072891936, -8.40856712361382]","[-8.147258902198544, -8.06110740662264, -8.125674264735451, -8.153161129212847, -8.223409531867972, -8.284751666939727, -8.26141538121449, -8.257426647233686, -8.286318348484954, -8.282393871105185]","[-8.216928498714427, -8.25470618334339, -8.312466489046077, -8.383868755667667, -8.43693767291234, -8.438635503884601, -8.405242854740667, -8.415587240841436, -8.416592839767421, -8.439706841145838]","[-8.381158278225175, -8.424064957438222, -8.495305255888216, -8.552976963011734, -8.552281196188833, -8.53438898823848, -8.534364810800671, -8.526753573799997, -8.549703410948187, -8.54989065682972]"
9,"[-8.38865280459016, -8.402864701397116, -8.188598982340986, -8.172835325173432, -8.222143636367614, -8.232728759109373, -8.282993840336198, -8.314877005576486, -8.340658627732987, -8.343769386926065]","[-8.411431171292227, -8.206580512517851, -8.04644621192829, -8.093079936051529, -8.135978963518303, -8.195263818198603, -8.259035431140822, -8.310862157786053, -8.336930150458377, -8.365055956238669]","[-8.07225045548952, -7.908534303179149, -7.982798576226596, -8.028024230023984, -8.085599470755223, -8.15062958361781, -8.192554253956441, -8.221823783463005, -8.240617696067456, -8.215371774381165]","[-8.130974825719603, -8.154807092869886, -8.236352661872514, -8.28616104858578, -8.33190146299661, -8.370597159737953, -8.375656783828743, -8.386423679316648, -8.350940922523149, -8.344306287603684]","[-8.286709892267078, -8.321696023160309, -8.4026767189444, -8.457055820787042, -8.485394592100471, -8.505478375294894, -8.501551160758078, -8.483379360457599, -8.452920627018154, -8.455736289668545]"
