,0,1,2
0,"[-4.244036331128549, -4.27406289364047, -4.304307270150852, -4.335692364078235, -4.368567697059583, -4.401232159983587, -4.435412618618678, -4.471142224323224, -4.504945471238565, -4.537753927808475]","[-4.270805380632524, -4.299107351665739, -4.32734491429234, -4.355813111503963, -4.384813058515434, -4.415798017149214, -4.445140722533111, -4.474507364769821, -4.502995339547638, -4.539843307202105]","[-4.310565902920427, -4.340186261640849, -4.370282339932384, -4.400176321225228, -4.431839098291459, -4.463337485747399, -4.493004041792812, -4.523415039362373, -4.554644909756245, -4.84531748022324]"
1,"[-7.0585784938175715, -7.100757292284492, -7.141488077862982, -7.179165157302145, -7.204002438857082, -7.259923915191416, -7.311683325840954, -7.360199275239233, -7.337984396888737, -7.390915049983982]","[-7.0320812365707654, -7.071906184285571, -7.10783603551953, -7.138743794962456, -7.200395963594009, -7.250354136779596, -7.296662076815655, -7.270085280269076, -7.323891216396977, -7.373473850518157]","[-7.048440107582186, -7.083288942901467, -7.102291611461018, -7.155082841841553, -7.203878899542664, -7.238235556958292, -7.202062678961132, -7.23041634957311, -7.269005774958108, -7.9067315454315885]"
2,"[-7.46939918193427, -7.510834129335556, -7.551189148606929, -7.590214108856592, -7.628846643300924, -7.675745589466962, -7.722298716934595, -7.762123061152372, -7.78126804511455, -7.8210056682994695]","[-7.467252770367171, -7.503291917893197, -7.533921940180566, -7.56559886217406, -7.606758044961001, -7.658818235549237, -7.68591737926295, -7.702159086170699, -7.71834558241358, -7.7931812702893275]","[-7.500156636631818, -7.541468686706157, -7.584220457172723, -7.62813927168283, -7.686358894503446, -7.709686813226671, -7.7249960296812965, -7.739322184866996, -7.78319602394733, -8.21628727698955]"
3,"[-7.741386413079872, -7.754936553974821, -7.828437582095339, -7.868470624526217, -7.89306246160455, -7.943719260831549, -8.014693357487396, -8.05765017165728, -8.180138960917667, -8.215091124613956]","[-7.708683077070943, -7.778095763001672, -7.816088702354661, -7.838715389195911, -7.88366271910452, -7.947715345595113, -7.993436209682456, -8.106671482149594, -8.139173239294522, -8.179281569842331]","[-7.8143310694573405, -7.8705083018718245, -7.900107633191157, -7.960034400093365, -8.048949561881829, -8.096335470545101, -8.223308011758137, -8.262867856639433, -8.31187368543725, -8.660869371014643]"
4,"[-7.918359362613534, -7.951076221745585, -8.006792080681894, -7.994403151888523, -8.134429229516659, -8.159878160897765, -8.21786972889689, -8.279432837013278, -8.426080513838802, -8.455785347242031]","[-7.919393389009005, -7.980080010823971, -7.964550303749806, -8.123079779081113, -8.142810926295883, -8.200751767017014, -8.261757184274561, -8.414542038448221, -8.449027482874758, -8.488757387258179]","[-7.979482291720124, -7.965335483185263, -8.1073658713021, -8.15098840974948, -8.19992586084387, -8.272867067239495, -8.440520404360505, -8.470525023049923, -8.513400607264849, -8.760895900882097]"
5,"[-8.032790174370023, -8.05371765386066, -8.116913970222088, -8.182305801322075, -8.28279220651588, -8.30204323272905, -8.33832519467673, -8.363736418669435, -8.423839745705338, -8.447612752800199]","[-8.063571030210067, -8.124893272231628, -8.192143285583068, -8.295946234773208, -8.315617047186304, -8.354150704975535, -8.378733530576636, -8.437770172889639, -8.460787631507326, -8.494514670159031]","[-8.150969746988219, -8.227077167015475, -8.326520744245451, -8.346370674204033, -8.37845877138893, -8.41105490876357, -8.478986255358857, -8.501206753309768, -8.539123182650608, -8.710414727684062]"
6,"[-8.147730343827932, -8.172305523270696, -8.268253727668851, -8.267719530993562, -8.315549796008925, -8.336360008948903, -8.3924057199894, -8.429353681886058, -8.465815180474381, -8.48434700959311]","[-8.181296483025566, -8.279200107202545, -8.27892066948107, -8.317819565907033, -8.339288955926808, -8.389202176034363, -8.428980352729472, -8.465135584026488, -8.485906444862398, -8.51216918267301]","[-8.304264919920689, -8.299521550624496, -8.356107998727685, -8.3690964431454, -8.42608217531336, -8.458302076994306, -8.491121664731628, -8.508432181640392, -8.542522607459551, -8.643758660270697]"
7,"[-8.258505005698705, -8.289490031387711, -8.30682769076159, -8.295405158150995, -8.335787830252254, -8.362857836607898, -8.419037386152947, -8.446426536265815, -8.44884711954003, -8.473530058592612]","[-8.301788288226717, -8.316036339907342, -8.306888273975247, -8.293236448487633, -8.341594702622288, -8.389176144322747, -8.453744820377224, -8.471483000612253, -8.466926244611287, -8.488181339169287]","[-8.32056123870352, -8.300125074711831, -8.29708105060199, -8.280042524588497, -8.346918392134102, -8.39751276667157, -8.464953798008354, -8.488109140795858, -8.47423593713829, -8.489939579879136]"
8,"[-8.329472618407479, -8.35385606088387, -8.240210991582742, -8.225189147747031, -8.273563819236031, -8.288380214243105, -8.348568466721943, -8.382428818612269, -8.377158162414005, -8.383848132329902]","[-8.364025937288265, -8.248804712563018, -8.186771968274574, -8.232655962824087, -8.263174654810886, -8.331367673247318, -8.386017361550788, -8.393600406020145, -8.400381332623969, -8.42232984713019]","[-8.233112084580771, -8.174312195642106, -8.214407938433997, -8.244284543110243, -8.313765640272013, -8.372485509975068, -8.388649190677516, -8.401956394216231, -8.423604255443625, -8.425319210876896]"
9,"[-8.414328552654151, -8.428792971057955, -8.221966060681407, -8.209391147701208, -8.25962998053259, -8.269014404958252, -8.319647302722696, -8.354322867339615, -8.381097691005234, -8.389956325164203]","[-8.442925442258128, -8.234910954037913, -8.085241470733889, -8.129848029712447, -8.171988774338969, -8.233095191667088, -8.294090163210639, -8.342238597819813, -8.369351743037113, -8.394533967847236]","[-8.149396816903442, -7.9960329483092725, -8.045294596517175, -8.080415355676502, -8.140144939237922, -8.204413841182083, -8.24885562684545, -8.279988051095694, -8.304556089156955, -8.272442939394802]"
