,0,1,2
0,"[-4.244613520156812, -4.274967159431648, -4.305231946807575, -4.336663297664594, -4.3694825687522405, -4.402721482616138, -4.436806968700361, -4.471374943208169, -4.505569725584459, -4.538343354415368]","[-4.271666103368048, -4.300312114273552, -4.3292355419596475, -4.358374015753512, -4.387716974457149, -4.418700431798939, -4.449423690651898, -4.478046349575166, -4.5068237570574325, -4.545199086283688]","[-4.3104726235139985, -4.340131842600169, -4.37104129332489, -4.400974719854059, -4.432756940903129, -4.464693578960361, -4.494799713673057, -4.5229325192738195, -4.557452903198065, -4.845492647098364]"
1,"[-7.053473229332689, -7.093486535175566, -7.130354682727579, -7.165215900911812, -7.189905985071186, -7.252611822261337, -7.301460961623911, -7.343436567856792, -7.323051328583483, -7.380428551508907]","[-7.0282360105511446, -7.063044951736619, -7.092192762970616, -7.121116250261356, -7.179942965015461, -7.243146225318005, -7.280922788634588, -7.2555854017582435, -7.292839902892401, -7.3697185101655025]","[-7.046526243416642, -7.084004478035544, -7.102581021813725, -7.160030090687846, -7.211023253826474, -7.261195314554547, -7.220063698915814, -7.250749585656498, -7.281136892242406, -7.924973986549352]"
2,"[-7.478757841320905, -7.522806247504625, -7.565868360730085, -7.603853305610094, -7.642189046176347, -7.676650168182525, -7.730850374134454, -7.777391245397005, -7.801883905934367, -7.83815729971436]","[-7.460370810630824, -7.493239065560605, -7.522256318408157, -7.551547931435611, -7.588940920236613, -7.623537367138173, -7.665044056180026, -7.685108149352576, -7.715640094059612, -7.781829621571209]","[-7.4969824285272075, -7.538280139959188, -7.581251315123172, -7.622376035249562, -7.675430896973939, -7.729726623094411, -7.749640885091157, -7.800365283435912, -7.850384916460843, -8.295571769869657]"
3,"[-7.742372527224197, -7.758224505436792, -7.835752527666464, -7.875610801828279, -7.901532627147808, -7.954102705669775, -8.024067308259383, -8.069651517522708, -8.193604666245356, -8.226996495825425]","[-7.7077210841813, -7.776968411926261, -7.819764446292154, -7.842540761280886, -7.889297338027588, -7.956975685257546, -8.00389354844772, -8.136739173729055, -8.172563647676341, -8.205500742245547]","[-7.803193181621838, -7.856950171160507, -7.885666191446591, -7.942675690966654, -8.029345776754427, -8.080541755872774, -8.2130717447577, -8.263479776549149, -8.306495897340584, -8.65112092332821]"
4,"[-7.918576986622189, -7.948682415392374, -8.00145145049331, -7.987301757652435, -8.13010785551754, -8.149437224585686, -8.20613382579771, -8.269871955830727, -8.416846057493363, -8.446551742125425]","[-7.922988826863533, -7.979831958644158, -7.962396936945683, -8.112114074163205, -8.133104755066402, -8.194034962438113, -8.253869561933048, -8.404717607878215, -8.436303372018106, -8.47733728074289]","[-7.9833270818807796, -7.969230078614564, -8.119352259195658, -8.165226087427946, -8.207226086861702, -8.283929702348324, -8.462976780242535, -8.482906556210729, -8.508791672519656, -8.755342590145084]"
5,"[-8.029478804801913, -8.048716624860974, -8.112663497810574, -8.181428996508332, -8.281605979089948, -8.299311251973124, -8.335643784736606, -8.359292616729947, -8.418537286703797, -8.441440149803968]","[-8.063096597726751, -8.123524062271525, -8.190491996641565, -8.291066542203833, -8.308833228360225, -8.342846011678983, -8.365430457453538, -8.420363826613237, -8.443356916244436, -8.48041939729016]","[-8.14740963606159, -8.220777090173167, -8.319761972408694, -8.338886167388361, -8.370192955713671, -8.394995064940256, -8.45308298012237, -8.47656280314545, -8.514546354766887, -8.685615544673007]"
6,"[-8.148258144820064, -8.172199028396934, -8.268197203839152, -8.267649124636735, -8.316223255618896, -8.336776812821116, -8.392134771942581, -8.428009969442572, -8.46496204405972, -8.483814095407213]","[-8.185027823195473, -8.282969594345108, -8.283169147290668, -8.321905106969556, -8.344117591821036, -8.393666035227856, -8.431859674595675, -8.470501328550657, -8.491139947168907, -8.51778788372167]","[-8.303785728379017, -8.298281273892945, -8.356147768995589, -8.370404054499096, -8.42760653523249, -8.46405388889355, -8.49551881206674, -8.512807752094096, -8.549041870138472, -8.649067367515391]"
7,"[-8.255813993822837, -8.284775918658877, -8.300897317316437, -8.293000372435952, -8.334799373831654, -8.36152397685876, -8.414996346768046, -8.441195179086233, -8.44646603225922, -8.471952218405956]","[-8.301671630761021, -8.319867939746374, -8.314765892515325, -8.298729821632051, -8.343189034203434, -8.388794678787136, -8.45303767506256, -8.473685707489395, -8.469693102000647, -8.490196866972738]","[-8.338272144225629, -8.323152607445808, -8.318202421673776, -8.294660136708261, -8.353767779329063, -8.41253310874963, -8.482563701131584, -8.50456196688974, -8.490605613821389, -8.504790545114519]"
8,"[-8.330750441408625, -8.352778591445556, -8.236050978532901, -8.220617194889954, -8.267617930888107, -8.286520756079724, -8.347975938810876, -8.383115875764659, -8.377201699881724, -8.386269946812561]","[-8.365377334772806, -8.251103160797815, -8.17627525877879, -8.221910765289525, -8.255452873080234, -8.322734707861404, -8.379462191730003, -8.390945849835138, -8.396042292366932, -8.422116802434633]","[-8.233393239690177, -8.179683747602812, -8.212596568180434, -8.242155919684283, -8.312579492939822, -8.370324174774996, -8.393054355768673, -8.40929673136603, -8.43199387276005, -8.434795248922146]"
9,"[-8.416794009378318, -8.433448694517974, -8.22520343201435, -8.21285687653548, -8.264201494736735, -8.274677714204554, -8.32591049919105, -8.362108005082373, -8.38800978647745, -8.396393181627754]","[-8.431757767001399, -8.231723163524874, -8.105434108773478, -8.152187891552456, -8.193723235527285, -8.250742644319542, -8.312565669665345, -8.35765909800888, -8.382483268404611, -8.40593237268389]","[-8.150439853483528, -8.04232651990065, -8.09385617699632, -8.123959761747807, -8.183363285550564, -8.240467865654916, -8.286636353173941, -8.306953015440792, -8.330978459382147, -8.294678087049812]"
10,"[-8.372442662375967, -8.420816965061228, -8.256531588393251, -8.23221480253617, -8.276164011689822, -8.288118978622357, -8.336236903103988, -8.372349096122186, -8.409968332978885, -8.416547584007482]","[-8.415958281308596, -8.269023265391771, -8.15081063255686, -8.182174570560639, -8.221645705104057, -8.274566679895107, -8.337310217023079, -8.395588893145506, -8.434689681679194, -8.457528678402488]","[-8.181326178059148, -8.095053789362478, -8.12528326284902, -8.14959672015922, -8.209624077350067, -8.266010425210165, -8.32495722097175, -8.361056900739836, -8.39153027270751, -8.335156099096107]"
11,"[-8.283639721822121, -8.346988231193402, -8.257634289812424, -8.262598322022834, -8.323918693948665, -8.334422806527593, -8.376089470710733, -8.410323823120573, -8.425404642958322, -8.43907444110898]","[-8.334288896021434, -8.276748244610616, -8.216603898403235, -8.276863028255292, -8.325549893972465, -8.373061620590278, -8.427740395960399, -8.46440330981929, -8.489681721624919, -8.5128415273102]","[-8.209191938350969, -8.180467592041069, -8.231597901742035, -8.281222784380489, -8.347007313231998, -8.41005116091209, -8.454012879590564, -8.505175778131061, -8.528305513273054, -8.485288707028204]"
12,"[-8.114468003364609, -8.165868966581629, -8.15533663865398, -8.220773851240383, -8.273367220277295, -8.288007868195281, -8.352190611625419, -8.371320536101566, -8.376257140396492, -8.409063138274805]","[-8.174409335172593, -8.193140748581706, -8.258496310255348, -8.325795177063762, -8.361421107939302, -8.43106869577509, -8.479424230447828, -8.491472679815113, -8.52112162455064, -8.556109152427732]","[-8.158400894539817, -8.22630835457371, -8.294296444790824, -8.346180067794783, -8.418794476824267, -8.470558715450032, -8.497225088464482, -8.541961309897168, -8.566145125242336, -8.502462487133606]"
13,"[-7.9444212666634515, -7.996953656423469, -8.057532855767388, -8.096195676821846, -8.152061758089442, -8.172134980085868, -8.20407886010744, -8.234914829481024, -8.30417269979753, -8.391384405541796]","[-7.996686177354863, -8.055324750047735, -8.093313509625009, -8.145739370983652, -8.165544522952846, -8.195174578603915, -8.224286120411566, -8.294823918518237, -8.384244885322264, -8.407739276093057]","[-7.99964293270193, -8.03850848405443, -8.09384788750492, -8.115200936708673, -8.146055776540264, -8.171896112997159, -8.241203045386895, -8.331897182304486, -8.366410875607356, -8.28245487986885]"
14,"[-7.635621977622718, -7.67982855218193, -7.743545202191085, -7.795425722028226, -7.848808111275644, -7.876171026031584, -7.902588158498616, -7.93518273497662, -7.960183547462434, -8.026223430062743]","[-7.7558066500095695, -7.819181094851908, -7.870141207215008, -7.919009688284811, -7.942710376319107, -7.976138166126427, -8.004889511477765, -8.02867817596775, -8.093015034657535, -8.107737956543085]","[-7.750853645274717, -7.80802202097543, -7.86733621231683, -7.903169816950638, -7.945715861985762, -7.9839137072063275, -8.014499348247725, -8.081020575607496, -8.102072902614552, -8.037641503507572]"
15,"[-7.160157245836011, -7.192149051717273, -7.276782111516944, -7.243373372844211, -7.279781417242042, -7.306128059766046, -7.327032421967736, -7.34781780771052, -7.375453655860177, -7.40602837062513]","[-7.217127828841964, -7.303215480392733, -7.273635954579273, -7.308384356072107, -7.334198917245427, -7.361983844062248, -7.382834912260929, -7.406486994570056, -7.434818501567403, -7.457472973486343]","[-7.287083658662806, -7.252754885045062, -7.291823650983344, -7.315185382303963, -7.3395584014181, -7.365434360963474, -7.395213379797707, -7.4212669593218665, -7.440404751611124, -7.303895660949121]"
16,"[-6.9465128870947614, -6.971651773740198, -6.9962786322726265, -7.031728256334211, -7.066358972181226, -7.085729040045883, -7.1049347033990875, -7.131809195343997, -7.1508243659777895, -7.179468307484533]","[-6.988129390992486, -7.009825952939951, -7.0425356706905005, -7.078725707374775, -7.099206833757722, -7.120102955617273, -7.142522583373153, -7.160927629687154, -7.189745028160774, -7.19900284021374]","[-7.006833368169103, -7.043237139658961, -7.084842798488173, -7.107599140332971, -7.131719487907324, -7.164473000170622, -7.186143747718964, -7.217963460089598, -7.241861715169582, -7.099517970534]"
17,"[-6.783386641598202, -6.8067317543988, -6.831380756056763, -6.864962061351992, -6.896252633488633, -6.919240237629868, -6.9358508116071, -6.960649013004161, -6.977644813663222, -7.005002304396488]","[-6.825656528852536, -6.8499374885928175, -6.881558799452736, -6.9160233226489565, -6.943391089595511, -6.961979002959683, -6.987776301137759, -7.007554793066933, -7.03619909406419, -7.052332352183416]","[-6.849302435851194, -6.884208867883779, -6.919619521683551, -6.948585507086016, -6.971953502482273, -7.001312180048324, -7.026600681802727, -7.055087373218037, -7.078784047252037, -6.950366942769386]"
18,"[-6.667252533116275, -6.68710068797403, -6.70657171679371, -6.7365581076376975, -6.764695085563594, -6.776049441636437, -6.795459470690125, -6.818115442038411, -6.831913826965624, -6.854864558183485]","[-6.71419132736303, -6.7390272678134595, -6.771460259824768, -6.805864276855961, -6.828215206533447, -6.853711968779341, -6.879895587011949, -6.90372247111775, -6.931306826442257, -6.95357595992066]","[-6.7359473735680035, -6.769965729921048, -6.805523026048129, -6.826761779620235, -6.855092755763715, -6.880972885771578, -6.903153377829974, -6.933382452710455, -6.9610373277803115, -6.83427177859742]"
19,"[-6.591570750714215, -6.60990469613758, -6.6306557216652955, -6.660678383798274, -6.690558190361532, -6.704347134471806, -6.7224784334161605, -6.745768622399243, -6.759419397354993, -6.784175512284907]","[-6.633114089500203, -6.656670459788336, -6.686574229281439, -6.721096583884253, -6.744322174470915, -6.768229383286132, -6.793627853747501, -6.813019885923757, -6.841030261721506, -6.863514186125292]","[-6.659975305895254, -6.6909587017697545, -6.727754891614363, -6.750778403828785, -6.7759066584957095, -6.804879528234646, -6.823542105729625, -6.851487989301726, -6.87843355233495, -6.7733665972453805]"
20,"[-6.5218998114486935, -6.541420770334244, -6.564275552975178, -6.5910523529073, -6.622628885777831, -6.6436495962461235, -6.658165645310819, -6.683102200264275, -6.695840619960964, -6.720399057949126]","[-6.561045556159819, -6.585857777686918, -6.6147289879789, -6.648189321922267, -6.674029921012128, -6.694100935774053, -6.719241210090125, -6.7377718750556355, -6.764256548898423, -6.782692317681516]","[-6.589672493091067, -6.619819665601691, -6.656879904022654, -6.682761758839925, -6.7039640772102675, -6.731892854249319, -6.752568109235009, -6.782830188324889, -6.809423132142266, -6.713831549784382]"
21,"[-6.45147154078258, -6.465470297899077, -6.483121177818606, -6.502619002651403, -6.532309218015501, -6.530995412086116, -6.557092892293798, -6.566898313638734, -6.584185424548553, -6.6043918070466985]","[-6.492083041143699, -6.518788574409767, -6.546595217806383, -6.58221000633864, -6.604641940591021, -6.635575130728169, -6.659384938103242, -6.685150580627008, -6.715333644447012, -6.744786666852518]","[-6.5231561196987125, -6.548478897849152, -6.58440411482198, -6.597011369841227, -6.631108076499829, -6.648762577401528, -6.670838070290217, -6.701596810670623, -6.729047243671546, -6.6507829476167055]"
22,"[-6.410467859689038, -6.425441976968091, -6.445281081233065, -6.4647664393818784, -6.493902171362083, -6.4977971933371235, -6.525851661670845, -6.535662304941456, -6.553927729237716, -6.575084399763386]","[-6.451402762060619, -6.4787334642313485, -6.507343766366697, -6.542211384599662, -6.5654305080823665, -6.59862755713389, -6.6252221698813205, -6.649561225523806, -6.680586841975904, -6.711194816132641]","[-6.48171061564901, -6.508178656070615, -6.543173679231788, -6.557173801667179, -6.591308968222822, -6.618091715580905, -6.635037371969903, -6.664385344914282, -6.695493564090813, -6.632223300716961]"
23,"[-6.391063546745377, -6.406531893631714, -6.425923804736035, -6.447634016147154, -6.477091635560887, -6.477925150522301, -6.50653253016741, -6.518253011496077, -6.537611724675903, -6.559162070841799]","[-6.431552999228958, -6.457667971537236, -6.4863243927664795, -6.521369573236231, -6.543411823496942, -6.574521493674044, -6.602483701468233, -6.62710497765315, -6.657042475924615, -6.6874270071692505]","[-6.463668808817305, -6.492630964621343, -6.528032126381435, -6.549096059530415, -6.582361136108078, -6.606942736088671, -6.627324674754776, -6.658607226341404, -6.687439032375254, -6.642909393190779]"
24,"[-6.392178440611626, -6.410646312083865, -6.430650172900225, -6.451248595636154, -6.478157984237934, -6.4887968340477, -6.5188760628512155, -6.531371651362444, -6.552117573242451, -6.574055060889388]","[-6.427879010193293, -6.454158565826957, -6.4810189910756995, -6.512248131312673, -6.536857641168182, -6.56931471718127, -6.598105299152677, -6.621805173211043, -6.650457206048315, -6.67985967998976]","[-6.461034387939292, -6.490407636978346, -6.52175791806789, -6.544709120534974, -6.579188407056647, -6.608442603268343, -6.628553286784011, -6.655706391327697, -6.681178643026072, -6.649349740364271]"
25,"[-6.40134825922863, -6.421854875910444, -6.4437449424745274, -6.465973511266871, -6.484345931488438, -6.508927429023547, -6.540060946646495, -6.556004052910371, -6.578223090547485, -6.602032737735076]","[-6.432631173584809, -6.458145744580975, -6.48404044233655, -6.508104389015784, -6.534761256952038, -6.570228155184736, -6.6003276011387015, -6.625424613658538, -6.655511646945229, -6.686477448273649]","[-6.463856120253023, -6.490441989744124, -6.512664784336504, -6.538500561038074, -6.574275130996522, -6.602967139923987, -6.6252962692026465, -6.654084459537682, -6.684744140723762, -6.671601635994431]"
26,"[-6.403820969395302, -6.4273894785418735, -6.4514674490764365, -6.477383379124068, -6.497836448483132, -6.524201825492047, -6.558420147977732, -6.577004052929543, -6.602977685861252, -6.628832284592055]","[-6.4332540838825985, -6.458159700300126, -6.484902873899369, -6.508693304176955, -6.534526096920995, -6.569534307609825, -6.601670677106409, -6.626569051559596, -6.6564178245920225, -6.687842563058762]","[-6.465495587879622, -6.492751007521355, -6.517311140516603, -6.544436461845243, -6.579832922288978, -6.610207449266517, -6.635585069278085, -6.66398395187577, -6.693955689290369, -6.697253456659445]"
27,"[-6.402136129572202, -6.420985437243392, -6.450182882382681, -6.476827913209011, -6.498162095680048, -6.525955139904429, -6.560829404055287, -6.577484877093841, -6.608775326295902, -6.635543157591631]","[-6.425938897794777, -6.452695381856256, -6.483602444669896, -6.508875441766077, -6.535455531469279, -6.572871315321618, -6.605088471463614, -6.634916923037463, -6.669400191894465, -6.702831271133118]","[-6.465379857494719, -6.4964924762390925, -6.518997333049066, -6.545047582163699, -6.581205935253985, -6.61161928906966, -6.635609366967566, -6.670183264686949, -6.696657725646384, -6.71075773149658]"
28,"[-6.3903970576505005, -6.414976472748333, -6.440450806883985, -6.4685060072372496, -6.490564307911211, -6.518342139912659, -6.552347003264242, -6.572461836753303, -6.601379933548981, -6.6278257749656975]","[-6.417004708153312, -6.443338103545015, -6.473378792357748, -6.500106267583673, -6.527802919921582, -6.564814759370988, -6.598323104855721, -6.627925367978518, -6.661606641438906, -6.695330088910763]","[-6.449638933659876, -6.477965340734804, -6.505847940937961, -6.5315849546057825, -6.568325529591525, -6.601177724794829, -6.6206204320950155, -6.654703917698348, -6.68517147262522, -6.7083972625149135]"
29,"[-6.364940933021338, -6.390021306532057, -6.4165724842572525, -6.444236773135693, -6.467612980934413, -6.495214409264357, -6.5303406557762935, -6.5501517179185464, -6.580490429955156, -6.607709710555704]","[-6.388769676280265, -6.415345897269492, -6.444414799404387, -6.470565320295338, -6.498361847666149, -6.5359310166212365, -6.5713381090434835, -6.601138611626868, -6.635990036022906, -6.670766913634782]","[-6.421242964400437, -6.449181434644845, -6.475049345700529, -6.500683865456369, -6.538237648962524, -6.573808248101261, -6.60070688924053, -6.636863603203085, -6.670379023014095, -6.698449679596808]"
30,"[-6.336376195042589, -6.362416704385736, -6.389889030917742, -6.418865452720978, -6.442430566265442, -6.470194502934077, -6.505388505025961, -6.529889867841461, -6.555511544658997, -6.583261762946107]","[-6.359753238858506, -6.387142061145827, -6.416899780632779, -6.443735686020776, -6.469853575231358, -6.505906457902714, -6.541329330654666, -6.568529891671464, -6.598045610712692, -6.633324623929187]","[-6.392480235227462, -6.421442381718275, -6.449057412945744, -6.473690317624327, -6.510026441567656, -6.546389175259587, -6.571745928057548, -6.60222127442908, -6.636755933665749, -6.671572113090273]"
