,idade,qx_mil,dx,lx,Lx,Tx,expx,ano
0,0,33.24,3324.0,100000.0,98338.0,6967678.79919477,69.6767879919477,1998
1,1,3.5686209607348256,345.0,96676.0,96503.5,6869340.79919477,71.05528568822427,1998
2,2,1.9100808670106195,184.0,96331.0,96239.0,6772837.29919477,70.30797250308592,1998
3,3,1.3936992313852747,134.0,96147.0,96080.0,6676598.29919477,69.44156655116404,1998
4,4,1.0311103704706654,99.0,96013.0,95963.5,6580518.29919477,68.53778445830012,1998
5,5,0.6727213955767808,64.52339993535135,95914.0,95881.73830003233,6484554.79919477,67.60801133509987,1998
6,6,0.5156592418552863,49.425668435815346,95849.47660006465,95824.76376584674,6388673.060894738,66.65318672058798,1998
7,7,0.3965379596986144,37.98835673545144,95800.05093162884,95781.0567532611,6292848.297128891,65.68731682220096,1998
8,8,0.317113916626319,30.367482727339084,95762.06257489338,95746.87883352971,6197067.24037563,64.71317632208518,1998
9,9,0.27910363729414644,26.71906430455773,95731.69509216605,95718.33556001377,6101320.3615421,63.73354567333244,1998
10,10,0.2845737454803855,27.235123489359047,95704.97602786148,95691.3584661168,6005602.0259820875,62.75119931312397,1998
11,11,0.33122264567357396,31.690634474416864,95677.74090437213,95661.89558713492,5909910.66751597,61.76891941274826,1998
12,12,0.4315571186686192,41.27673386651096,95646.0502698977,95625.41190296445,5814248.771928835,60.789219790278466,1998
13,13,0.5723383195244371,54.71827542412647,95604.77353603119,95577.41439831913,5718623.360025871,59.81524926546326,1998
14,14,0.750645570786586,71.72422576978823,95550.05526060707,95514.19314772217,5623045.945627551,58.849217096641425,1998
15,15,0.9535822502557183,91.04644175886051,95478.33103483728,95432.80781395784,5527531.752479829,57.89304958067389,1998
16,16,1.1629718039625023,110.932722438297,95387.28459307841,95331.81823185926,5432098.944665871,56.94783081245234,1998
17,17,1.3583102159046685,129.41484208001833,95276.35187064011,95211.6444496001,5336767.126434011,56.0135544828576,1998
18,18,1.514883557516724,144.13653045264482,95146.93702856009,95074.86876333377,5241555.481984412,55.089061673220904,1998
19,19,1.6582886720715833,157.54206788108814,95002.80049810745,94924.0294641669,5146480.613221078,54.171883210154434,1998
20,20,1.804358273820546,171.13482678122682,94845.25843022636,94759.69101683574,5051556.583756912,53.26103452470561,1998
21,21,1.9519292773015653,184.79719366443172,94674.12360344513,94581.72500661292,4956796.8927400755,52.35640641895206,1998
22,22,2.071582647164625,195.7424489327758,94489.3264097807,94391.4551853143,4862215.1677334625,51.4578244176177,1998
23,23,2.15530367246381,203.23130780059012,94293.58396084791,94191.96830694762,4767823.712548148,50.56360689957249,1998
24,24,2.212816429168359,208.20467817690783,94090.35265304732,93986.25031395887,4673631.744241201,49.671742239876025,1998
25,25,2.259915617945367,212.16573245466768,93882.14797487042,93776.06510864309,4579645.493927243,48.78079158513804,1998
26,26,2.312254518880377,216.5888397234705,93669.98224241575,93561.68782255401,4485869.4288186,47.890149239158326,1998
27,27,2.3740972588332006,221.86744510599246,93453.39340269228,93342.45968013929,4392307.740996047,46.999981285532535,1998
28,28,2.4529709848035512,228.6942280429183,93231.52595758629,93117.17884356482,4298965.281315907,46.11063947694721,1998
29,29,2.5462854690201993,236.811759010667,93002.83172954337,92884.42585003804,4205848.102472342,45.222796169294575,1998
30,30,2.6471165052947168,245.5624625944964,92766.0199705327,92643.23873923544,4112963.6766223046,44.3369638788944,1998
31,31,2.75021534545468,254.4511820068193,92520.4575079382,92393.2319169348,4020320.4378830693,43.453313420311694,1998
32,32,2.857815687883338,263.67924033659006,92266.00632593139,92134.1667057631,3927927.205966134,42.57177006329566,1998
